Auction Date,Issue Date
05/13/2020,05/15/2020
02/20/2020,02/28/2020
02/13/2020,02/18/2020
11/07/2019,11/15/2019
08/08/2019,08/15/2019
05/09/2019,05/15/2019
02/21/2019,02/28/2019
02/07/2019,02/15/2019
11/07/2018,11/15/2018
08/09/2018,08/15/2018
05/10/2018,05/15/2018
02/15/2018,02/28/2018
02/08/2018,02/15/2018
11/09/2017,11/15/2017
08/10/2017,08/15/2017
05/11/2017,05/15/2017
02/16/2017,02/28/2017
02/09/2017,02/15/2017
11/10/2016,11/15/2016
08/11/2016,08/15/2016
05/12/2016,05/16/2016
02/18/2016,02/29/2016
02/11/2016,02/16/2016
11/12/2015,11/16/2015
08/13/2015,08/17/2015
05/14/2015,05/15/2015
02/19/2015,02/27/2015
02/12/2015,02/17/2015
11/13/2014,11/17/2014
08/14/2014,08/15/2014
05/08/2014,05/15/2014
02/20/2014,02/28/2014
02/13/2014,02/18/2014
11/14/2013,11/15/2013
08/08/2013,08/15/2013
05/09/2013,05/15/2013
02/21/2013,02/28/2013
02/14/2013,02/15/2013
11/08/2012,11/15/2012
08/09/2012,08/15/2012
05/10/2012,05/15/2012
02/16/2012,02/29/2012
02/09/2012,02/15/2012
11/10/2011,11/15/2011
08/11/2011,08/15/2011
05/12/2011,05/16/2011
02/17/2011,02/28/2011
02/10/2011,02/15/2011
11/10/2010,11/15/2010
08/12/2010,08/16/2010
05/13/2010,05/17/2010
02/22/2010,02/26/2010
02/11/2010,02/16/2010
11/12/2009,11/16/2009
08/13/2009,08/17/2009
05/07/2009,05/15/2009
02/12/2009,02/17/2009
02/07/2008,02/15/2008
02/08/2007,02/15/2007
02/09/2006,02/15/2006
10/10/2001,10/15/2001
02/08/2001,02/15/2001
02/10/2000,02/15/2000
08/12/1999,08/16/1999
04/07/1999,04/15/1999
02/11/1999,02/16/1999
11/05/1998,11/16/1998
08/13/1998,08/17/1998
04/08/1998,04/15/1998
11/06/1997,11/17/1997
08/07/1997,08/15/1997
02/13/1997,02/18/1997
11/07/1996,11/15/1996
08/08/1996,08/15/1996
02/08/1996,02/15/1996
08/10/1995,08/15/1995
02/09/1995,02/15/1995
08/11/1994,08/15/1994
08/12/1993,08/16/1993
02/11/1993,02/16/1993
11/12/1992,11/16/1992
08/13/1992,08/17/1992
11/07/1991,11/15/1991
08/08/1991,08/15/1991
05/09/1991,05/15/1991
02/07/1991,02/15/1991
08/09/1990,08/15/1990
05/10/1990,05/15/1990
02/08/1990,02/15/1990
08/10/1989,08/15/1989
02/09/1989,02/15/1989
11/17/1988,11/22/1988
05/12/1988,05/16/1988
08/13/1987,08/17/1987
05/07/1987,05/15/1987
11/06/1986,11/17/1986
05/08/1986,05/15/1986
02/06/1986,02/18/1986
11/22/1985,11/29/1985
08/08/1985,08/15/1985
10/11/2000,10/16/2000
06/11/2020,06/15/2020
04/08/2020,04/15/2020
03/12/2020,03/16/2020
01/09/2020,01/15/2020
12/12/2019,12/16/2019
10/10/2019,10/15/2019
09/12/2019,09/16/2019
08/22/2019,08/30/2019
07/11/2019,07/15/2019
06/13/2019,06/17/2019
04/11/2019,04/15/2019
03/13/2019,03/15/2019
01/10/2019,01/15/2019
12/13/2018,12/17/2018
10/18/2018,10/31/2018
10/11/2018,10/15/2018
09/13/2018,09/17/2018
07/12/2018,07/16/2018
06/21/2018,06/29/2018
06/12/2018,06/15/2018
04/12/2018,04/16/2018
03/13/2018,03/15/2018
01/11/2018,01/16/2018
12/12/2017,12/15/2017
10/19/2017,10/31/2017
10/12/2017,10/16/2017
09/13/2017,09/15/2017
07/13/2017,07/17/2017
06/22/2017,06/30/2017
06/13/2017,06/15/2017
04/12/2017,04/17/2017
03/09/2017,03/15/2017
01/12/2017,01/17/2017
12/13/2016,12/15/2016
10/20/2016,10/31/2016
10/13/2016,10/17/2016
09/13/2016,09/15/2016
07/13/2016,07/15/2016
06/22/2016,06/30/2016
06/09/2016,06/15/2016
04/14/2016,04/15/2016
03/10/2016,03/15/2016
01/14/2016,01/15/2016
12/10/2015,12/15/2015
10/22/2015,10/30/2015
10/08/2015,10/15/2015
09/10/2015,09/15/2015
07/09/2015,07/15/2015
06/18/2015,06/30/2015
06/11/2015,06/15/2015
04/09/2015,04/15/2015
03/12/2015,03/16/2015
01/14/2015,01/15/2015
12/11/2014,12/15/2014
10/23/2014,10/31/2014
10/09/2014,10/15/2014
09/11/2014,09/15/2014
07/10/2014,07/15/2014
